,PM2.5_AQI,PM10_AQI,SO2_AQI,NO2_AQI,CO_AQI,O3_AQI,AQI,Polutan,Kategori
Jan,128,63,33,54,17,0,128,PM2.5_AQI,Tidak sehat untuk golongan sensitif
Feb,93,45,21,38,10,0,93,PM2.5_AQI,Sedang
Mar,151,92,27,58,14,0,151,PM2.5_AQI,Tidak sehat
Apr,140,86,16,45,9,0,140,PM2.5_AQI,Tidak sehat untuk golongan sensitif
Mei,128,72,14,38,8,28,128,PM2.5_AQI,Tidak sehat untuk golongan sensitif
Jun,139,64,8,38,9,40,139,PM2.5_AQI,Tidak sehat untuk golongan sensitif
Jul,142,63,7,36,9,11,142,PM2.5_AQI,Tidak sehat untuk golongan sensitif
Ag,118,53,6,39,10,11,118,PM2.5_AQI,Tidak sehat untuk golongan sensitif
Sep,118,56,5,48,9,0,118,PM2.5_AQI,Tidak sehat untuk golongan sensitif
Okt,150,76,7,61,13,0,150,PM2.5_AQI,Tidak sehat untuk golongan sensitif
Nov,172,96,19,68,19,0,172,PM2.5_AQI,Tidak sehat
Des,204,109,31,78,28,0,204,PM2.5_AQI,Sangat tidak sehat
